id,type,value,date,notes
1,expense,56.7,07/18/22,Ball Mount
2,expense,124.83,07/18/22,Gas
3,expense,38.5,07/15/22,Fiber Glass
4,expense,11.55,07/14/22,AAA 6PK
5,expense,75.11,07/14/22,Gas
6,expense,197.73,07/14/22,Measure Wheel + Marking Paint
7,expense,125,07/05/22,Gas
8,expense,243.33,07/06/22,Duct Tape + Insect Repellent + 10LB Seed 
9,expense,130,07/10/22,Gas
10,expense,4,07/13/22,Print Services
11,expense,125,07/07/22,Gas
12,expense,68.47,07/13/22,Hydraulic Fluid
13,expense,22,07/13/22,Print Services
14,expense,108.15,06/30/22,Fish Tape + Kobalt Lockback
15,expense,232.96,07/14/22,Hotel
16,expense,220.64,07/13/22,Hotel
17,expense,440,07/05/22,Hotel
18,expense,77.28,07/17/22,Hotel
19,expense,75.07,07/16/22,Gas
500,deposit,2500,07/19/22,Deposit
20,expense,42.78,07/22/22,Prep Werx Def Diesel Exh
21,expense,92.59,07/22/22,Gas
22,expense,15,07/20/22,Gas
23,expense,38.06,07/21/22,Ice & Gas Can
24,expense,95.19,07/18/22,Hotel
25,expense,19.47,07/26/22,Spring Water & Ice
26,expense,124.08,07/26/22,Lawn Berm
27,expense,8.54,07/26/22,Ratchet
28,expense,185.25,07/26/22,Gravel Granite
29,expense,140,01/01/23,Gas
30,expense,36.94,07/26/22,Nuts Screws Washers
31,expense,374.05,07/26/22,Hotel
501,deposit,1500,07/30/22,Deposit
32,expense,109,08/03/22,Hotel
33,expense,99.4,08/04/22,Hotel
34,expense,123.19,08/02/22,Hotel
35,expense,25.95,08/04/22,Ice
36,expense,14.77,08/02/22,Ice & Water
37,expense,134.08,08/01/22,Gas
38,expense,116.01,08/04/22,Gas
39,expense,103.56,07/29/22,Gas
40,expense,288.54,07/31/22,Hotel
41,expense,205.7,08/08/22,Locksmith
42,expense,111.89,08/08/22,Gas
502,deposit,2000,08/09/22,Deposit
43,expense,306.24,08/12/22,Signs MOT
44,expense,25,08/11/22,Copies
45,expense,100,08/12/22,Safety Vests
46,expense,95.89,08/12/22,Gas
47,expense,150,08/10/22,Hotel
48,expense,100,08/10/22,Hotel
